ID,pred
25318,0.03665117151588524
25319,0.0025897600465981776
25320,0.006289754771672744
25321,0.7003554795425118
25322,0.021461295410045746
25323,0.002041228726214116
25324,0.0009565794493443216
25325,0.002594228621495851
25326,0.014666635762913582
25327,0.20782450773298566
25328,0.6341963889712192
25329,0.20359776632296858
25330,0.0009039160257292287
25331,0.0017963783414459422
25332,0.0023700530966026027
25333,0.006500040116470368
25334,0.07159256975422068
25335,0.0019306168240186224
25336,0.0053405461362538995
25337,0.22955641794059506
25338,0.1279753544242194
25339,0.06549808476546137
25340,0.001100050823995516
25341,0.008926980309784793
25342,0.29757700771030793
25343,0.005432074611046002
25344,0.007268085774224055
25345,0.005009590741872752
25346,0.011897513012784593
25347,0.0023117276476313066
25348,0.007406539686632292
25349,0.002999065363017122
25350,0.0022253728503403326
25351,0.001884984473032824
25352,0.013189487735306296
25353,0.006006623231257137
25354,0.005688879764227242
25355,0.4526609724325158
25356,0.43250168118340165
25357,0.0025929002188166987
25358,0.03865593181283845
25359,0.016300471954619405
25360,0.0028331223930363023
25361,0.01191603951421571
25362,0.02862792946022763
25363,0.6010167607875456
25364,0.0020283662877749395
25365,0.0034444152699003028
25366,0.0019173147402308396
25367,0.00297476397200245
25368,0.3367590133192692
25369,0.12451667246926919
25370,0.0023438229987273445
25371,0.03198899258159691
25372,0.007308741179965365
25373,0.02259287263001191
25374,0.058692132741487546
25375,0.0012177084547090177
25376,0.019417269804357328
25377,0.010736528219666381
25378,0.02243481156435819
25379,0.015773017073164898
25380,0.00760316147459752
25381,0.002576323549590477
25382,0.001641194898209352
25383,0.061051649982676245
25384,0.0021867786589003075
25385,0.02234681926221755
25386,0.0024680647019929584
25387,0.173318446782462
25388,0.008641711646189461
25389,0.4520581222318535
25390,0.002076902179121762
25391,0.006126998924449291
25392,0.5998961800955767
25393,0.015386756934573998
25394,0.2940827496149664
25395,0.01608311818879224
25396,0.0015579531238421901
25397,0.010296754460030727
25398,0.787078476444972
25399,0.16229525579649345
25400,0.00586725764489056
25401,0.002116882196687534
25402,0.5276300894554907
25403,0.011807011092677625
25404,0.003480326066446783
25405,0.5687323990771794
25406,0.0015514934722783724
25407,0.017869377023479696
25408,0.45997263243956443
25409,0.008505274921397193
25410,0.027917049153439483
25411,0.011950872321147703
25412,0.22804827412643114
25413,0.71184242358625
25414,0.22211107907471578
25415,0.3769012783504583
25416,0.004522087489678485
25417,0.27298063996912914
25418,0.005132832565331405
